UDI,Product ID,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Machine failure,TWF,HDF,PWF,OSF,RNF
9975,L57154,L,298.6,308.2,1361,68.2,172,1,0,0,1,1,0
9976,M24835,M,298.6,308.3,1589,34.1,174,0,0,0,0,0,0
9977,L57156,L,298.6,308.2,1705,26.3,177,0,0,0,0,0,0
9978,L57157,L,298.6,308.3,1422,40.4,179,0,0,0,0,0,0
9979,H39392,H,298.6,308.3,1377,52.1,181,0,0,0,0,0,0
9980,L57159,L,298.5,308.3,1334,49.8,186,0,0,0,0,0,0
9981,L57160,L,298.6,308.4,1559,36.6,188,0,0,0,0,0,0
9982,L57161,L,298.7,308.5,1353,47.0,190,0,0,0,0,0,0
9983,M24842,M,298.7,308.4,1507,45.7,192,0,0,0,0,0,0
9984,L57163,L,298.7,308.4,1694,28.7,195,0,0,0,0,0,0
9985,H39398,H,298.7,308.4,1432,42.8,197,0,0,0,0,0,0
9986,H39399,H,298.7,308.5,1572,35.6,202,0,0,0,0,0,0
9987,M24846,M,298.8,308.6,1507,42.3,207,0,0,0,0,0,0
9988,M24847,M,298.8,308.6,1500,37.1,210,0,0,0,0,0,0
9989,L57168,L,298.9,308.6,1771,24.1,213,0,0,0,0,0,0
9990,M24849,M,298.8,308.5,1577,33.2,0,0,0,0,0,0,0
9991,L57170,L,298.8,308.5,1527,36.2,3,0,0,0,0,0,0
9992,M24851,M,298.9,308.4,1827,26.1,5,0,0,0,0,0,0
9993,L57172,L,298.8,308.4,1484,39.2,8,0,0,0,0,0,0
9994,L57173,L,298.8,308.4,1401,47.3,10,0,0,0,0,0,0
9995,L57174,L,298.8,308.3,1634,27.9,12,0,0,0,0,0,0
9996,M24855,M,298.8,308.4,1604,29.5,14,0,0,0,0,0,0
9997,H39410,H,298.9,308.4,1632,31.8,17,0,0,0,0,0,0
9998,M24857,M,299.0,308.6,1645,33.4,22,0,0,0,0,0,0
9999,H39412,H,299.0,308.7,1408,48.5,25,0,0,0,0,0,0
10000,M24859,M,299.0,308.7,1500,40.2,30,0,0,0,0,0,0
